,Year,Type,Country,Area,Activity,Sex ,Fatal (Y/N),Month,New_Age
0,2018,Boat,USA,California,Other,F,N,6,57
1,2018,Unprovoked,USA,Georgia,Swimming,F,N,6,11
2,2018,Invalid,USA,Hawaii,Surfing,M,N,6,48
3,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,6,
4,2018,Provoked,MEXICO,Colima,Water Sports,M,N,6,
5,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,6,
6,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,M,Y,6,18
7,2018,Unprovoked,USA,Florida,Fishing,M,N,5,52
8,2018,Unprovoked,USA,Florida,Swimming,M,N,5,15
9,2018,Unprovoked,USA,Florida,Swimming,M,N,5,12
10,2018,Provoked,AUSTRALIA,Queensland,Other,M,N,5,32
11,2018,Unprovoked,USA,South Carolina,Surfing,M,N,5,10
12,2018,Unprovoked,USA,South Carolina,Swimming,M,N,5,10
13,2018,Invalid,ENGLAND,Cornwall,Fishing,M,N,5,21
14,2018,Provoked,AUSTRALIA,Westerm Australia,Other,F,N,5,34
15,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,5,
17,2018,Unprovoked,THAILAND,Hua Hin,Swimming,M,N,4,
18,2018,Unprovoked,COSTA RICA,Cocos Island,Water Sports,M,N,4,30
19,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,4,
21,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,4,60
22,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,4,
23,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,N,4,32
24,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,4,33
25,2018,Unprovoked,USA,Hawaii,Surfing,M,N,4,29
26,2018,Unprovoked,THAILAND,Hua Hin,Swimming,M,N,4,54
27,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,M,,4,34
28,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,4,41
29,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,4,37
